,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1534,2,83,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-18.2,7.1","-26.4,5.5",344673.0,#37 Zac Leslie,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,344673,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,325032.0,343192.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#4 Jonathan Hazen,#16 Joey LaLeggia,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.2,-0.2","-10.1,-5.3","6.5,-0.7","1.7,10.7","6.4,7.8","-25.6,-1","-4.8,14.8","7,9.8","-17.6,9.1","0.6,-6.9","7.2,-13.9",,,,,,,,,,,,,,,,,,,,,,,,,
1535,2,84,1703790000000.0,Pass,HomePowerplay,5v4,True,True,HomeTeamZone,"-26.5,5.6","-11,-6.1",344673.0,#37 Zac Leslie,Home,325032.0,#4 Jonathan Hazen,Home,,,,,,,,Successful,20.6,,,,,,,,,,,,,,,,"344,673,325,032",304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,325032.0,343192.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#4 Jonathan Hazen,#16 Joey LaLeggia,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.3,-0.5","-22,-0.6","2,-4.4","-6.8,7","0.3,7.2","-25.5,-1.8","-13.1,13.2","0.6,11.6","-26.4,6.4","-7.8,-9.9","5.6,-15.5",,0.319,5.98,3.362,5.466,3.123,0.163,5.121,3.146,2.861,5.518,1.158,,"-0.813,-0.582","-0.805,0.593","-0.168,-0.986","-0.409,-0.913","-0.997,0.076","-0.914,-0.405","-0.831,-0.556","-0.961,0.275","-0.988,0.154","-0.875,0.484","-0.539,0.842",
1536,2,84,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-26.4,5.5","-11,-6.1",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,325032.0,343192.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#4 Jonathan Hazen,#16 Joey LaLeggia,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.3,-0.5","-22.1,-0.6","2,-4.5","-6.8,6.9","0.3,7.2","-25.5,-1.8","-13.2,13.1","0.5,11.6","-26.5,6.4","-7.9,-9.9","5.6,-15.5",,,,,,,,,,,,,,,,,,,,,,,,,
1537,2,85,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-11,-6.1","-11,-5.1",325032.0,#4 Jonathan Hazen,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,325032,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,325032.0,343192.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#4 Jonathan Hazen,#16 Joey LaLeggia,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.3,-0.3","-24.4,5.1","2.2,-8.2","-8.9,2.4","-1.4,6.2","-26,-1.7","-15.9,9.3","-1.3,12.8","-27.4,8.3","-11.6,-6.7","4.1,-14.3",,,,,,,,,,,,,,,,,,,,,,,,,
1538,2,86,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-11,-5.1","-13.5,-10.1",337835.0,#40 Dennis Rasmussen,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,337835,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,325032.0,343192.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#4 Jonathan Hazen,#16 Joey LaLeggia,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.3","-18.2,10.9","4.5,-9","-10.2,-4.2","0.4,2.1","-27,-0.8","-11.5,3.1","-1.7,14.1","-23.8,9.4","-13.4,-4.4","1.4,-15",,,,,,,,,,,,,,,,,,,,,,,,,
1539,2,88,1703790000000.0,Pass,HomePowerplay,5v4,True,True,HomeTeamZone,"-13.4,-10.2","-15.6,-1",337835.0,#40 Dennis Rasmussen,Away,337830.0,#44 Matej Stransky,Away,,,,,,,,Successful,14.8,,,,,,,,,,,,,,,,"337,835,337,830",304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,343192.0,325032.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#16 Joey LaLeggia,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.4","-13.4,4.3","5.5,-4.5","-12.8,-10","3.5,2.5","-25.2,-1.6","-9.8,-4.1","-4.3,13","-19.4,5.4","-3.2,-14.1","-15.5,-8.2",,0.084,7.04,2.885,5.41,2.447,0.584,5.993,3.674,5.657,5.596,3.858,,"-0.541,0.841","-0.161,-0.987","-0.198,0.98","-0.955,-0.295","0.139,0.99","-0.166,-0.986","-0.674,-0.739","-0.881,-0.473","0.038,-0.999","-0.914,0.406","-0.558,-0.83",
1540,2,88,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-13.5,-10.1","-15.6,-1",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,343192.0,325032.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#16 Joey LaLeggia,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.4","-13.4,4.2","5.5,-4.5","-12.9,-10","3.5,2.6","-25.2,-1.6","-9.8,-4.2","-4.4,13","-19.4,5.3","-3.4,-14","-15.6,-8.3",,,,,,,,,,,,,,,,,,,,,,,,,
1541,2,88,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-15.6,-1","-16.1,-0.9",337830.0,#44 Matej Stransky,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,337830,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,343192.0,325032.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#16 Joey LaLeggia,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.3","-15.2,-0.2","5.1,-2.7","-16.1,-10.7","2.6,4.3","-25.2,-1.5","-13.2,-5.7","-6.7,11.8","-19.6,1.5","-7.1,-11.9","-17.6,-8.9",,,,,,,,,,,,,,,,,,,,,,,,,
1542,2,88,1703790000000.0,Shot,HomePowerplay,5v4,True,True,HomeTeamZone,"-16,-0.8",,337830.0,#44 Matej Stransky,Away,888052816.0,#1 Thomas Milic,Home,,Blocked,0.0,,0.138,,,,,,,,,,,,,,,,,,,,"337,830,888,052,816",304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,343192.0,325032.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#16 Joey LaLeggia,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.3","-15.9,-1.3","5,-2.2","-16.9,-10.9","2.2,4.8","-25.2,-1.2","-14.1,-5.7","-7.3,11.5","-19.6,0.6","-8,-11.4","-18.2,-8.7",,0.172,8.12,3.006,5.288,3.915,1.978,5.61,3.881,5.509,6.235,4.356,,"0.418,-0.908","-0.607,-0.795","-0.314,0.949","-0.978,-0.209","-0.657,0.754","0.118,0.993","-0.994,0.113","-0.87,-0.492","-0.088,-0.996","-0.879,0.476","-0.867,0.498",
1543,2,88,1703790000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-16.1,-0.9","-26.9,-12.4",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,304441.0,337830.0,340162.0,337835.0,308599.0,888052816.0,340122.0,888052820.0,344673.0,343192.0,325032.0,,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#1 Thomas Milic,#96 Daniel Audette,#13 Massimo Rizzo,#37 Zac Leslie,#16 Joey LaLeggia,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,-0.4","-16,-1.4","4.9,-2.1","-17,-10.9","2.2,4.8","-25.2,-1.2","-14.2,-5.6","-7.3,11.4","-19.6,0.5","-8.1,-11.3","-18.2,-8.6",,,,,,,,,,,,,,,,,,,,,,,,,
