Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12,strength_type_state,is_powerplay,pp_start,pp_phase_id
3,1008,1767187643040,Faceoff,AwayPowerplay,4v5,True,True,NeutralZone,,,888057609.0,#13 T.J. Hughes,Home,888057609.0,#13 T.J. Hughes,Home,Center,,,,,,,,,,,,,,,,,,,,,,,,888057609,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.6,0.4","5.8,2.1","7.2,-2","1,5.2","-1.3,-0.8","1.4,-4.1","-0.4,5.7","-26.3,-0.3","0,1.3","-6.8,-1.8","-1.2,-5.7",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,True,4.0
3,1008,1767187643040,PuckControl,AwayPowerplay,4v5,True,True,NeutralZone,"-2.4,-1","-6.1,-3.4",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.5,0.4","5.8,1.2","7.5,-2","0.9,4.6","-0.2,-1","0.3,-3.2","-0.9,5.2","-26.2,-0.2","-0.2,0.6","-7.1,-2.2","-0.4,-5.2",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1008,1767187643440,PuckControl,AwayPowerplay,4v5,True,True,NeutralZone,"-6.1,-3.4","-9.3,-10.5",888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,AwayTeamZone,,,,888057601,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.5,0.6","6.2,1.2","7.6,-2.7","0.7,3.9","1,-0.5","-0.6,-2.7","-1.8,4.8","-26,-0.2","-0.3,0.6","-7.4,-2.6","-0.1,-5.1",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1008,1767187643580,BluelineCrossing,AwayPowerplay,4v5,True,True,NeutralZone,"-7.1,-4.1",,888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,TowardsHome,,,,,,,,,,,,,,888057601,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.5,0.7","6.5,1.1","7.6,-3.2","0.5,3.7","1.3,-0.4","-1,-2.6","-2.1,4.6","-26,-0.1","-0.5,0.5","-7.5,-2.9","0.2,-5",,0.515,1.836,3.894,2.34,1.793,2.398,2.853,0.427,1.521,2.607,2.026,,"-0.226,0.974","0.987,-0.16","0.011,-1","-0.512,-0.859","0.985,0.171","-0.993,0.121","-0.857,-0.516","0.647,0.762","-0.729,-0.684","-0.353,-0.936","0.901,0.433",,AwayPowerplay,True,False,4.0
3,1010,1767187644880,Clear,AwayPowerplay,4v5,True,True,HomeTeamZone,"-9.3,-10.4","7.5,-12.8",888057601.0,#23 Eric Pohlkamp,Home,346405.0,#18 Filip Zadina,Away,,,,,,,,,,,,,,,,,OffensiveZone,False,,,,,,,"888057601,346405",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25,0.2","8.9,0.4","8.1,-8.1","-2.7,3.7","3.1,-3.2","-3.8,-6.4","-6.1,3.4","-24.1,1","-1.4,-2.5","-9.3,-8.8","2.8,-5.8",,1.301,3.005,3.745,2.831,3.108,6.209,3.203,3.272,3.426,5.367,4.031,,"0.492,-0.871","0.955,-0.296","0.458,-0.889","-0.24,0.971","0.662,-0.749","-0.407,-0.914","-0.974,-0.227","0.804,0.595","-0.068,-0.998","-0.169,-0.986","0.992,-0.126",,AwayPowerplay,True,False,4.0
3,1010,1767187644900,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-9.3,-10.5","8.5,-12.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,HomeTeamZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25,0.1","9,0.4","8.1,-8.1","-2.7,3.8","3.2,-3.3","-3.8,-6.5","-6.1,3.4","-24,1.1","-1.4,-2.5","-9.3,-8.9","2.9,-5.8",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1010,1767187645400,BluelineCrossing,AwayPowerplay,4v5,True,True,NeutralZone,"-7.1,-12.9",,888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,TowardsOpponent,,,,,,,,,,,,,,888057601,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.3,-0.2","10.7,-0.4","8.8,-9.9","-2.3,5","4.6,-4.4","-4.9,-9.1","-7.6,3","-22.5,2.3","-1.2,-4.3","-9.4,-11.2","4.8,-6.5",,0.641,4.153,4.04,2.864,3.846,5.381,2.594,4.39,3.613,3.772,4.507,,"0.93,-0.369","0.893,-0.449","0.306,-0.952","0.538,0.843","0.827,-0.562","-0.352,-0.936","-0.929,-0.37","0.707,0.707","0.395,-0.919","-0.06,-0.998","0.867,-0.498",,AwayPowerplay,True,False,4.0
3,1011,1767187645880,BluelineCrossing,AwayPowerplay,4v5,True,True,AwayTeamZone,"7.2,-12.8",,888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,TowardsOpponent,888057610,"153736,346405,345037",,,,,,,,,,,,"888057601,888057610,153736,346405,345037",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.8,-0.2","12.4,-1.5","9.6,-11.7","-1.3,6.1","6.5,-5.2","-5.3,-11.4","-8.7,2.1","-20.9,4.2","-0.1,-5.7","-9.7,-12.3","7.2,-8",,1.255,4.362,3.036,3.399,4.709,4.559,2.981,6.164,3.866,1.168,6.518,,"0.998,-0.062","0.917,-0.398","0.428,-0.904","0.821,0.572","0.937,-0.349","0.085,-0.996","-0.569,-0.822","0.632,0.775","0.801,-0.599","-0.74,-0.672","0.816,-0.578",,AwayPowerplay,True,False,4.0
3,1011,1767187645940,PuckControl,AwayPowerplay,4v5,True,True,AwayTeamZone,"8.5,-12.6","7.7,-11.8",346405.0,#18 Filip Zadina,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,346405,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057597.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#30 Adam Gajan,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.9,-0.2","12.6,-1.6","9.6,-11.8","-1.1,6.2","6.8,-5.3","-5.2,-11.7","-8.8,2","-20.6,4.5","0.1,-5.8","-9.8,-12.3","7.5,-8.2",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1012,1767187646800,PuckControl,AwayPowerplay,5v5,False,True,AwayTeamZone,"7.7,-11.8","5.3,-14.9",346405.0,#18 Filip Zadina,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,NeutralZone,,,,346405,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057597.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#30 Adam Gajan,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,-0.7","16.2,-2.4","9.1,-13.4","2.2,7.1","11.6,-5.8","-2.6,-13.7","-8,-1.1","3.5,-7.8","-10.3,-11.7","12.1,-10.3","-17.2,9",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1012,1767187646940,BluelineCrossing,AwayPowerplay,5v5,False,True,AwayTeamZone,"7.2,-12",,346405.0,#18 Filip Zadina,Away,,,,,,,,,,,,,PossessionLost,TowardsOpponent,,,,,,,,,,,,,,346405,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057597.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#30 Adam Gajan,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,-0.7","16.7,-2.5","8.6,-13.7","2.7,6.9","12.2,-6.1","-1.9,-13.6","-7.6,-1.4","4.1,-8.3","-10.2,-11.4","12.9,-10.4","-16.7,9.7",,0.646,3.8,4.246,4.128,4.727,4.512,3.405,5.325,1.844,5.499,6.237,,"-0.417,-0.909","0.985,-0.174","-0.895,-0.446","0.884,-0.467","0.785,-0.619","0.978,0.208","0.879,-0.477","0.62,-0.785","0.424,0.906","1,0.025","0.564,0.826",,AwayPowerplay,True,False,4.0
3,1012,1767187647500,Pass,AwayPowerplay,5v5,False,True,NeutralZone,"5.4,-14.9","-6.8,-9.4",346405.0,#18 Filip Zadina,Away,888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,Intercepted,17.6,,,,,,,,,,,,,,,,"346405,888057601",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057597.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#30 Adam Gajan,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,-0.8","18.7,-2.3","6.3,-14.7","4.1,4.5","12.9,-8.8","0.4,-11.5","-5.9,-1.5","4.6,-11.2","-9.3,-10.5","14.9,-9.1","-14.9,12.6",,0.999,3.464,4.588,5.914,5.843,7.482,2.963,4.877,2.648,5.077,5.741,,"0.32,0.947","0.924,0.384","-0.952,-0.305","0.185,-0.983","-0.068,-0.998","0.496,0.869","0.965,0.263","-0.206,-0.979","0.87,0.493","0.475,0.88","0.558,0.83",,AwayPowerplay,True,False,4.0
3,1012,1767187647520,PuckControl,AwayPowerplay,5v5,False,True,NeutralZone,"5.3,-14.9","-6.8,-9.4",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057597.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#30 Adam Gajan,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,-0.8","18.8,-2.3","6.2,-14.7","4.1,4.4","12.8,-8.9","0.5,-11.4","-5.8,-1.5","4.6,-11.3","-9.3,-10.5","14.9,-9","-14.8,12.7",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1013,1767187648400,PuckControl,AwayPowerplay,5v5,False,True,NeutralZone,"-6.8,-9.4","-6.8,-9.5",888057601.0,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,888057601,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057597.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#30 Adam Gajan,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,0.4","19.9,0","2.3,-14.9","2.4,-1","11,-12.3","1.5,-6.6","-5.5,-0.2","1.9,-13.2","-7.3,-9.6","12.9,-3.4","-12.6,14.9",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1014,1767187649060,Pass,AwayPowerplay,5v5,False,True,NeutralZone,"-6.7,-9.4","5.2,-6.5",888057601.0,#23 Eric Pohlkamp,Home,888057610.0,#18 Aiden Fink,Home,,,,,,,,Successful,20.6,,,,,,,,,,,,,,,,"888057601,888057610",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057617.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#19 Quinn Finley,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,0.1","18.6,2.5","0.8,-14.2","-2.4,-3","8.2,-12.6","-1.1,-4.7","-7.3,0.9","-0.9,-14.1","-6.4,-8.9","8.7,-2.2","-7.4,14.1",,0.635,4.591,2.967,8.173,2.926,5.216,3.585,4.891,1.037,6.278,3.316,,"0.154,-0.988","-0.754,0.657","-0.131,0.991","-0.996,-0.089","-0.988,0.152","-0.942,0.335","-0.914,0.405","-0.983,-0.182","0.759,0.651","-0.992,-0.129","0.769,-0.639",,AwayPowerplay,True,False,4.0
3,1014,1767187649080,PuckControl,AwayPowerplay,5v5,False,True,NeutralZone,"-6.8,-9.5","5.2,-6.5",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057617.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#19 Quinn Finley,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,0.1","18.5,2.6","0.8,-14.2","-2.6,-3","8.1,-12.5","-1.2,-4.7","-7.4,0.9","-1,-14.1","-6.4,-8.9","8.6,-2.2","-7.4,14.1",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1015,1767187649880,PuckControl,AwayPowerplay,5v5,False,True,NeutralZone,"5.2,-6.5","6.4,-7.7",888057610.0,#18 Aiden Fink,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,888057610,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057609.0,888057601.0,888057610.0,888057617.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,#19 Quinn Finley,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,-0.1","15.4,2.2","0.4,-12.2","-6.6,0","7.9,-11.3","-3.7,-5.3","-9.5,1.7","-2.9,-12","-6.4,-8.5","5.5,-5.5","-4.4,12.7",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1015,1767187650080,Dump,AwayPowerplay,5v5,False,True,NeutralZone,"6.4,-7.6","19.7,-12.3",888057610.0,#18 Aiden Fink,Home,153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,Possession,DumpIn,False,,,,,,,,,"888057610,153736",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,-0.2","14.9,1.4","0.6,-11.8","-6.8,1.3","8,-11","-3.6,-6.1","-9.8,1.9","-3.5,12.2","-2.5,-11","-6.5,-8.3","5.2,-6.6",,0.831,4.696,2.228,6.86,0.813,4.373,1.383,5.512,5.909,0.875,4.906,,"-0.744,-0.668","-0.459,-0.889","0.542,0.841","0.019,1","0.077,0.997","0.3,-0.954","-0.847,0.531","0.899,-0.439","0.435,0.901","-0.478,0.878","-0.163,-0.987",,AwayPowerplay,True,False,4.0
3,1015,1767187650100,PuckControl,AwayPowerplay,5v5,False,True,NeutralZone,"6.4,-7.7","20.6,-11.7",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,HomeTeamZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,-0.2","14.9,1.3","0.6,-11.8","-6.7,1.5","8,-11","-3.5,-6.2","-9.9,1.9","-3.4,12.1","-2.4,-10.9","-6.5,-8.3","5.2,-6.7",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1016,1767187650960,BluelineCrossing,AwayPowerplay,5v5,False,True,AwayTeamZone,"7.2,-13.3",,888057610.0,#18 Aiden Fink,Home,,,,,,,,,,,,,PossessionLost,TowardsOpponent,888057610,"153736,346405,345037",,,,,,,,,,,,"888057610,153736,346405,345037",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.3,-0.3","14.6,-2.3","3.8,-10.3","-4.2,5.9","9.3,-11.6","-0.9,-8.8","-10,3.2","1.8,9.9","2.3,-7.6","-6.5,-8.2","6.3,-10.3",,0.633,4.39,5.511,5.915,2.372,4.698,2.006,7.261,6.812,0.633,4.848,,"-0.985,-0.17","0.205,-0.979","0.991,0.132","0.881,0.473","0.447,-0.894","0.95,-0.313","0.57,0.821","0.911,-0.412","0.978,0.21","-0.084,-0.996","0.592,-0.806",,AwayPowerplay,True,False,4.0
3,1018,1767187652780,PuckControl,AwayPowerplay,5v5,False,True,AwayTeamZone,"20.6,-11.7","29.2,-6.7",153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,153736,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,-0.3","20.7,-9.5","13.5,-9.8","8.1,4.7","8.8,-11.4","6.8,-10.4","-4.7,4.6","10.8,1.6","14.9,-6.7","-3.2,-8.3","9.6,-11.6",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
3,1019,1767187654340,Pass,AwayPowerplay,5v5,False,True,AwayTeamZone,"29.1,-6.6","25.8,-12.1",153736.0,#38 Lukas Frick,Away,346405.0,#18 Filip Zadina,Away,,,,,,,,Successful,6.4,,,,,,,,,,,,,,,,"153736,346405",150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.6,0.4","28,-6.2","18.5,-14.1","16.4,7","8.1,-13.3","14.1,-4.9","0.5,5.4","17.5,-3.5","26.6,-6.1","1.1,-9.7","10.2,-9.5",,0.484,6.345,4.954,5.73,1.022,5.109,3.612,6.111,6.075,2.972,0.569,,"0.203,0.979","0.481,0.877","0.985,0.174","0.679,0.734","0.759,-0.651","0.755,0.656","0.831,0.557","0.999,0.042","0.927,0.375","0.954,-0.299","0.131,0.991",,AwayPowerplay,True,False,4.0
3,1019,1767187654360,PuckControl,AwayPowerplay,5v5,False,True,AwayTeamZone,"29.2,-6.7","25.8,-12.1",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,,150983.0,153736.0,346405.0,345038.0,345037.0,347294.0,888057605.0,888057617.0,888057609.0,888057601.0,888057610.0,,#29 Sandro Aeschlimann,#38 Lukas Frick,#18 Filip Zadina,#19 Adam Tambellini,#15 Simon Ryfors,#22 Brendan Lemieux,#25 Abram Wiebe,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.6,0.4","28,-6.1","18.6,-14.1","16.5,7.1","8.1,-13.3","14.2,-4.9","0.6,5.5","17.6,-3.5","26.8,-6","1.2,-9.7","10.2,-9.5",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,4.0
