Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,1189,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"9.7,8.5","11.3,8.2",150352.0,#28 Christoph Bertschy,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,150352.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"25.4,9.5","26,1.7","10.2,9.1","8.1,-1.4","25.7,0.3","-26.9,-0.3","24,-1.4","23.1,3.2","19,4","18.5,-0.9","13.8,-10.9",,,,,,,,,,,,,,,,,,,,,,,,,
1,1190,1735220000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"11.3,8.3","8.7,-0.4",150352.0,#28 Christoph Bertschy,Home,105742.0,#16 Raphael Diaz,Home,,,,,,,,Successful,13.8,,,,,,,,,,,,,,,,150352105742.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"25.3,7.2","24,1.5","12.3,9.5","8,-0.3","25.2,0.4","-27.2,-0.6","23.5,-0.9","22.7,3.4","17.7,4.5","18,-0.1","14.3,-9.1",,2.185,3.432,3.675,1.254,0.603,0.67,0.919,0.888,2.325,1.354,2.889,,"-0.211,-0.977","-0.916,-0.4","0.899,-0.439","-0.062,0.998","-0.987,0.162","-0.931,-0.365","-0.874,0.486","-0.988,0.155","-0.946,0.325","-0.888,0.459","0.693,0.721",
1,1190,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"11.3,8.2","8.7,-0.4",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"25.2,7.1","23.9,1.4","12.3,9.4","8,-0.3","25.2,0.4","-27.2,-0.6","23.5,-0.9","22.6,3.4","17.7,4.5","18,-0.1","14.3,-9.1",,,,,,,,,,,,,,,,,,,,,,,,,
1,1191,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"8.7,-0.4","9.4,-1.7",105742.0,#16 Raphael Diaz,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,105742.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"24.6,4.1","22.1,0.5","14.7,7.5","8.1,-0.1","25.3,0.1","-27.1,-0.5","22.7,-1.3","22,2.7","16.8,4.2","16.6,-0.4","16.3,-8.6",,,,,,,,,,,,,,,,,,,,,,,,,
1,1192,1735220000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"9.3,-1.7","19.4,-8.2",105742.0,#16 Raphael Diaz,Home,340122.0,#88 Daniel Audette,Home,,,,,,,,Successful,18.6,,,,,,,,,,,,,,,,105742340122.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"23.1,-0.1","20.9,-1.1","17.4,8.5","9,-1.5","25.1,0","-27,-0.1","21.4,-2.5","21.4,0.7","18.9,4.1","13.5,-1","19.4,-9.2",,0.897,0.512,2.301,1.708,0.681,0.775,0.637,1.045,1.609,0.845,1.846,,"-0.423,-0.906","-0.522,-0.853","0.817,0.577","0.735,-0.679","0.994,-0.11","0.907,0.422","-0.169,-0.986","-0.258,-0.966","0.934,0.357","-0.954,-0.301","0.992,-0.124",
1,1192,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"9.4,-1.7","19.4,-8.2",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"23.1,-0.1","20.9,-1.1","17.5,8.5","9,-1.5","25.1,0","-26.9,-0.1","21.4,-2.5","21.4,0.7","18.9,4.1","13.5,-1","19.4,-9.2",,,,,,,,,,,,,,,,,,,,,,,,,
1,1193,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"19.4,-8.2","20.2,-8.3",340122.0,#88 Daniel Audette,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,340122.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"22.8,-1.2","21,-1.4","18.5,9.3","9.3,-2.9","25.5,-0.4","-26.6,0","21.7,-3.1","21.7,0","20.1,4.2","13.8,-0.8","20.5,-9.5",,,,,,,,,,,,,,,,,,,,,,,,,
1,1193,1735220000000.0,Shot,HomePowerplay,5v4,True,True,AwayTeamZone,"20,-8.6",,340122.0,#88 Daniel Audette,Home,888055464.0,#22 Roman Will,Away,,Saved,108.9,,0.056,,,,,,,,,,,,,,,,,,,,340122888055464.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"22.8,-1.3","21,-1.4","18.5,9.4","9.3,-3","25.6,-0.4","-26.5,0","21.8,-3.1","21.8,0","20.2,4.2","13.8,-0.8","20.5,-9.5",,2.213,0.374,1.045,1.809,1.128,0.417,1.46,1.399,2.005,1.574,1.064,,"-0.088,-0.996","0.629,-0.777","0.505,0.863","-0.439,-0.898","0.289,-0.957","0.9,-0.437","0.689,-0.725","0.976,-0.22","0.999,-0.037","0.992,0.129","0.992,-0.128",
1,1193,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"20.2,-8.3","25.4,-1.3",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"22.8,-1.3","21,-1.4","18.5,9.4","9.2,-3","25.6,-0.5","-26.5,0","21.8,-3.1","21.8,0","20.2,4.2","13.8,-0.8","20.5,-9.5",,,,,,,,,,,,,,,,,,,,,,,,,
1,1193,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"25.4,-1.3","24.7,-2.5",888055464.0,#22 Roman Will,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,888055464.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"22.9,-2.1","21.1,-1.6","18.6,9.6","8.9,-3.4","25.6,-0.9","-26.5,0","22.3,-3.5","22.5,0","21,4.1","14.6,-0.8","20.9,-9.4",,,,,,,,,,,,,,,,,,,,,,,,,
1,1194,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"24.7,-2.5","26.9,-3.4",,,,,,,,,,,,,,,,,,,,,,,,,Contested,AwayTeamZone,AwayTeamZone,340141888040777.0,,,,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"23.3,-2.4","21.3,-2.1","18.4,9.7","8.6,-3.4","25.6,-1.3","-26.6,0","22.9,-3.8","23.2,0.2","21.9,3.8","15.9,-0.9","21.2,-9.3",,,,,,,,,,,,,,,,,,,,,,,,,
1,1194,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"26.9,-3.4","29.9,-4.8",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"24,-2.7","22,-3","18.3,9.8","8.4,-3.6","25.7,-1.3","-26.7,-0.1","24.1,-4.1","23.4,-0.2","22.8,3","17.5,-0.7","21.7,-8.8",,,,,,,,,,,,,,,,,,,,,,,,,
1,1195,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"29.9,-4.8","29.9,-5.4",888040777.0,#8 David Musil,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,888040777.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"26.1,-3.9","26.4,-4.7","18.4,9.1","8.5,-6.6","26,-0.7","-26.6,-1","28,-4.9","23.9,-1.1","23.2,1","20.4,-2.7","25.4,-8.5",,,,,,,,,,,,,,,,,,,,,,,,,
1,1196,1735220000000.0,Clear,HomePowerplay,5v4,True,True,AwayTeamZone,"29.9,-5.2","-7.3,-14.8",888040777.0,#8 David Musil,Away,105742.0,#16 Raphael Diaz,Home,,,,,,,,,,,,,,,,,OffensiveZone,0.0,,,,,,,888040777105742.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"26.6,-4.1","27.4,-4.9","18.5,9","8.5,-7.7","26,-0.6","-26.5,-0.7","28.7,-5.2","24.2,-1.4","23.1,0.7","20.8,-3.7","26.2,-9",,2.075,3.456,0.452,3.962,0.207,1.069,2.668,1.448,1.522,4.243,3.691,,"0.824,-0.566","0.978,-0.21","0.297,-0.955","0.041,-0.999","0.521,0.853","-0.278,0.96","0.862,-0.507","0.605,-0.796","-0.487,-0.874","0.349,-0.937","0.766,-0.643",
